iter	Passed	Remaining
463	756	873
464	757	871
465	758	869
466	759	867
467	761	865
468	762	862
469	763	860
470	764	858
471	766	857
472	767	854
473	768	852
474	769	850
475	770	848
476	771	846
477	772	844
478	774	842
479	775	839
480	776	838
481	777	836
482	779	834
483	780	832
484	782	830
485	783	828
486	784	826
487	785	824
488	786	822
489	787	820
490	789	818
491	790	816
492	791	814
493	792	812
494	794	810
495	795	808
496	796	806
497	798	804
498	799	802
499	800	800
500	801	798
501	803	796
502	804	794
503	805	793
504	807	791
505	808	789
506	809	787
507	811	785
508	812	783
509	813	781
510	814	779
511	815	777
512	816	775
513	818	773
514	819	771
515	820	769
516	821	767
517	822	765
518	824	764
519	825	762
520	827	760
521	828	758
522	829	756
523	830	754
524	831	752
525	833	750
526	834	748
527	835	746
528	836	744
529	837	743
530	839	741
531	840	739
532	841	737
533	842	735
534	844	733
535	845	731
536	846	730
537	848	728
538	849	726
539	850	724
540	851	722
541	852	720
542	853	718
543	855	717
544	856	715
545	857	713
546	859	711
547	860	709
548	862	708
549	863	706
550	864	704
551	866	703
552	867	701
553	869	699
554	870	698
555	872	696
556	873	694
557	874	693
558	875	691
559	877	689
560	878	687
561	879	685
562	881	683
563	882	682
564	883	680
565	884	678
566	886	676
567	887	675
568	888	673
569	890	671
570	891	669
571	892	668
572	894	666
573	895	664
574	896	662
575	897	660
576	899	659
577	900	657
578	902	655
579	903	654
580	904	652
581	906	650
582	907	649
583	908	647
584	910	645
585	911	643
586	912	642
587	913	640
588	915	638
589	917	637
590	918	635
591	919	633
592	920	632
593	922	630
594	923	628
595	924	626
596	925	624
597	926	623
598	928	621
599	929	619
600	931	618
601	932	616
602	933	614
603	934	612
604	936	611
605	937	609
606	938	607
607	939	606
608	941	604
609	942	602
610	943	600
611	945	599
612	947	598
613	948	596
614	950	595
615	952	593
616	953	591
617	954	590
618	956	588
619	957	586
620	958	585
621	961	584
622	962	582
623	963	580
624	965	579
625	966	577
626	967	575
627	969	574
628	970	572
629	971	570
630	972	568
631	974	567
632	975	565
633	977	564
634	978	562
635	980	561
636	981	559
637	983	557
638	984	556
639	985	554
640	987	552
641	988	551
642	991	550
643	992	548
644	995	547
645	996	546
646	998	544
647	999	542
648	1000	541
649	1002	539
650	1003	537
651	1005	536
652	1007	535
653	1008	533
654	1009	531
655	1011	530
656	1012	528
657	1013	526
658	1015	525
659	1016	523
660	1017	521
661	1018	520
662	1021	519
663	1023	517
664	1024	516
665	1025	514
666	1027	512
667	1028	511
668	1030	509
669	1031	508
670	1032	506
671	1034	504
672	1035	503
673	1036	501
674	1038	499
675	1039	498
676	1040	496
677	1042	494
678	1043	493
679	1044	491
680	1045	489
681	1046	488
682	1048	486
683	1049	484
684	1051	483
685	1052	481
686	1053	480
687	1055	478
688	1056	476
689	1057	475
690	1058	473
691	1059	471
692	1060	469
693	1062	468
694	1063	466
695	1064	465
696	1066	463
697	1067	461
698	1068	460
699	1070	458
700	1071	456
701	1072	455
702	1073	453
703	1074	451
704	1076	450
705	1077	448
706	1078	446
707	1079	445
708	1081	443
709	1082	442
710	1083	440
711	1084	438
712	1085	437
713	1087	435
714	1088	433
715	1089	432
716	1091	430
717	1092	429
718	1094	427
719	1096	426
720	1097	424
721	1098	423
722	1100	421
723	1101	419
724	1102	418
725	1103	416
726	1105	415
727	1106	413
728	1107	411
729	1108	410
730	1110	408
731	1111	406
732	1112	405
733	1114	403
734	1115	402
735	1116	400
736	1117	398
737	1119	397
738	1120	395
739	1121	394
740	1122	392
741	1124	390
742	1125	389
743	1127	387
744	1128	386
745	1129	384
746	1130	382
747	1131	381
748	1133	379
749	1134	378
750	1135	376
751	1136	374
752	1138	373
753	1139	371
754	1141	370
755	1142	368
756	1143	367
757	1145	365
758	1146	363
759	1147	362
760	1148	360
761	1150	359
762	1151	357
763	1152	355
764	1153	354
765	1155	352
766	1156	351
767	1158	349
768	1159	348
769	1160	346
770	1161	344
771	1162	343
772	1164	341
773	1165	340
774	1166	338
775	1167	337
776	1168	335
777	1170	333
778	1171	332
779	1172	330
780	1173	329
781	1175	327
782	1176	326
783	1177	324
784	1178	322
785	1180	321
786	1181	319
787	1182	318
788	1183	316
789	1185	315
790	1186	313
791	1187	311
792	1188	310
793	1190	308
794	1191	307
795	1192	305
796	1193	304
797	1194	302
798	1196	300
799	1197	299
800	1198	297
801	1200	296
802	1201	294
803	1203	293
804	1204	291
805	1205	290
806	1206	288
807	1208	287
808	1209	285
809	1210	283
810	1211	282
811	1213	280
812	1214	279
813	1216	277
814	1217	276
815	1218	274
816	1220	273
817	1221	271
818	1222	270
819	1224	268
820	1225	267
821	1226	265
822	1227	264
823	1228	262
824	1230	260
825	1231	259
826	1233	257
827	1234	256
828	1235	254
829	1236	253
830	1237	251
831	1238	250
832	1240	248
833	1241	247
834	1242	245
835	1243	243
836	1244	242
837	1246	240
838	1247	239
839	1248	237
840	1250	236
841	1251	234
842	1252	233
843	1253	231
844	1254	230
845	1256	228
846	1257	227
847	1258	225
848	1259	224
849	1261	222
850	1262	221
851	1264	219
852	1265	218
853	1266	216
854	1267	215
855	1269	213
856	1270	211
857	1271	210
858	1273	208
859	1274	207
860	1275	205
861	1277	204
862	1278	202
863	1279	201
864	1280	199
865	1282	198
866	1283	196
867	1284	195
868	1285	193
869	1286	192
870	1287	190
871	1289	189
872	1290	187
873	1292	186
874	1293	184
875	1294	183
876	1295	181
877	1297	180
878	1298	178
879	1299	177
880	1300	175
881	1301	174
882	1303	172
883	1304	171
884	1305	169
885	1307	168
886	1308	166
887	1309	165
888	1310	163
889	1311	162
890	1313	160
891	1314	159
892	1315	157
893	1316	156
894	1318	154
895	1319	153
896	1320	151
897	1322	150
898	1323	148
899	1324	147
900	1325	145
901	1326	144
902	1327	142
903	1329	141
904	1330	139
905	1331	138
906	1332	136
907	1333	135
908	1335	133
909	1336	132
910	1338	130
911	1339	129
912	1340	127
913	1341	126
914	1342	124
915	1344	123
916	1345	121
917	1346	120
918	1347	118
919	1348	117
920	1350	115
921	1351	114
922	1352	112
923	1354	111
924	1355	109
925	1356	108
926	1357	106
927	1358	105
928	1360	103
929	1361	102
930	1362	100
931	1363	99
932	1365	98
933	1366	96
934	1367	95
935	1368	93
936	1370	92
937	1371	90
938	1372	89
939	1373	87
940	1374	86
941	1375	84
942	1377	83
943	1378	81
944	1379	80
945	1381	78
946	1382	77
947	1383	75
948	1385	74
949	1386	72
950	1387	71
951	1388	70
952	1390	68
953	1391	67
954	1392	65
955	1393	64
956	1395	62
957	1396	61
958	1397	59
959	1399	58
960	1400	56
961	1401	55
962	1402	53
963	1403	52
964	1405	50
965	1406	49
966	1407	48
967	1408	46
968	1409	45
969	1411	43
970	1412	42
971	1413	40
972	1415	39
973	1416	37
974	1417	36
975	1418	34
976	1420	33
977	1421	31
978	1422	30
979	1423	29
980	1425	27
981	1426	26
982	1427	24
983	1429	23
984	1430	21
985	1431	20
986	1432	18
987	1434	17
988	1435	15
989	1436	14
990	1437	13
991	1439	11
992	1440	10
993	1442	8
994	1443	7
995	1444	5
996	1445	4
997	1446	2
998	1447	1
999	1449	0
